78 2263
24 1 57
76 48 28
42 55 96
61 68 6
53 64 83
26 47 47
45 60 39
46 25 49
11 67 44
57 34 85
4 28 42
77 12 62
35 52 91
68 49 69
4 64 79
70 9 88
62 5 60
48 70 98
8 34 12
6 73 75
31 17 37
49 71 87
42 32 29
13 5 72
26 24 78
54 6 9
73 19 65
5 1 24
11 44 98
15 14 15
35 29 100
26 60 89
67 61 48
66 16 32
38 34 73
58 12 20
44 77 51
50 8 21
69 21 52
36 73 26
8 11 12
72 32 31
64 28 46
29 70 72
30 35 53
49 48 41
61 22 23
45 14 32
22 67 31
63 68 3
42 45 76
74 77 63
45 50 27
65 28 9
52 58 35
3 53 1
4 18 63
67 74 99
68 39 3
60 35 21
71 44 3
17 73 60
37 51 7
29 47 76
60 71 3
7 28 66
59 75 3
30 48 52
76 15 71
22 44 78
61 35 69
34 18 15
7 64 52
45 27 26
11 34 38
57 1 53
3 30 11
23 8 34
35 19 3
67 51 64
52 71 76
25 54 93
44 67 15
36 63 58
2 70 64
8 1 35
68 52 7
18 51 10
37 64 41
10 47 31
30 25 75
22 21 58
41 34 47
61 12 7
7 41 53
53 8 76
34 31 41
24 66 92
52 48 53
36 40 92
68 29 70
25 67 75
17 63 60
18 28 1
29 37 35
30 2 52
6 53 94
59 65 4
10 60 50
51 61 22
30 38 69
22 34 21
63 35 12
42 12 3
28 77 30
26 4 28
45 17 19
11 24 60
3 20 2
63 71 57
55 67 100
68 6 12
14 35 5
44 57 38
17 40 66
29 14 17
6 30 20
47 68 3
17 76 71
18 41 29
30 15 61
62 47 99
22 11 28
7 31 14
63 48 22
9 77 61
55 44 94
1 73 87
75 22 38
74 57 31
40 64 75
33 25 46
44 34 100
15 7 59
56 8 16
68 19 31
60 15 3
66 58 4
17 53 15
10 14 59
62 60 11
63 25 40
22 24 50
9 54 1
55 21 59
28 67 89
45 7 56
11 14 85
55 57 38
21 64 44
5 56 51
33 38 55
48 17 8
47 58 62
6 20 100
66 71 42
59 32 44
50 63 44
10 27 83
51 28 48
70 41 57
16 70 90
8 66 71
74 11 22
20 40 56
9 67 43
1 63 56
75 12 41
12 72 65
13 37 92
52 28 61
24 46 9
36 20 39
2 27 25
14 38 1
47 35 58
38 66 31
4 73 54
77 57 95
69 53 44
29 17 3
6 33 61
62 50 28
63 15 48
1 40 67
74 24 7
24 23 86
2 4 25
33 28 71
5 46 46
17 20 89
36 33 88
69 30 87
2 40 49
15 59 42
35 74 19
6 10 34
39 44 47
58 57 75
43 14 71
28 34 69
20 30 97
12 26 45
40 8 36
43 50 44
76 47 13
55 24 12
12 62 30
53 63 55
13 27 24
45 59 81
24 36 8
25 1 50
11 66 2
36 10 37
54 64 86
47 25 23
57 69 4
58 34 29
50 30 77
27 46 24
28 11 96
19 42 96
39 57 22
59 35 47
49 70 5
55 1 1
41 66 95
20 43 36
61 44 80
7 73 86
12 39 81
13 4 66
32 17 46
24 13 59
54 41 59
26 59 93
73 54 34
45 72 84
57 46 70
3 75 40
77 24 53
23 53 45
69 20 86
27 23 43
38 69 42
16 50 100
28 24 78
72 67 45
64 63 55
30 70 5
22 66 29
61 57 15
34 40 55
54 18 60
45 49 79
73 31 9
65 27 84
2 7 79
67 73 57
47 15 57
66 28 6
69 33 7
15 62 30
16 27 1
28 1 25
49 60 85
12 29 83
64 76 80
76 50 16
42 57 49
38 23 78
66 5 94
3 65 77
15 39 95
19 9 92
39 24 64
72 21 61
37 63 90
62 7 24
8 36 89
19 45 72
31 19 18
72 57 56
41 69 11
42 34 61
34 30 42
53 43 37
54 8 26
73 21 92
46 4 13
15 16 46
35 31 54
75 67 65
67 63 98
68 28 56
58 14 92
25 66 77
4 43 8
56 53 79
8 13 8
27 26 9
71 69 83
72 34 34
18 63 50
37 76 26
30 37 97
49 50 35
22 33 34
41 46 83
1 10 22
7 53 41
53 20 66
45 16 3
11 23 46
22 69 83
63 70 87
55 66 26
34 43 81
26 39 39
77 4 97
23 33 31
15 29 88
68 41 51
71 46 93
48 62 8
41 23 78
18 76 89
64 43 79
59 77 84
10 72 90
22 46 5
34 20 95
74 56 4
40 63 40
73 11 68
57 3 89
3 32 5
14 47 33
44 69 38
36 65 94
16 7 60
29 26 55
49 4 51
60 50 21
18 53 29
29 62 78
41 36 28
7 43 16
45 6 1
13 59 87
33 37 97
38 3 18
36 42 7
48 16 45
68 31 77
60 27 16
33 73 58
25 69 43
66 70 95
17 65 98
18 30 31
37 43 23
69 75 53
30 4 31
41 13 9
70 76 6
43 59 10
76 7 19
55 33 41
74 46 42
20 75 68
26 6 29
12 71 75
3 22 19
75 47 67
67 43 31
5 68 20
71 13 21
36 55 77
37 20 19
48 29 58
64 10 27
50 75 59
10 39 27
30 17 29
70 53 1
8 78 64
61 4 66
7 33 40
31 61 88
43 72 1
55 46 19
1 75 37
74 59 58
21 53 76
13 49 76
25 23 34
36 32 94
2 39 92
71 26 63
66 60 1
58 56 66
69 65 32
27 68 73
59 57 83
28 69 21
74 36 27
31 74 31
32 39 67
52 17 52
24 35 95
44 13 82
36 9 75
2 16 20
73 76 10
33 40 14
65 72 34
66 37 17
2 52 90
6 22 26
47 60 94
66 73 55
58 69 91
51 30 67
70 43 34
43 26 26
63 4 91
8 68 84
12 38 71
31 51 31
32 16 52
43 62 55
9 69 78
1 65 56
13 39 82
14 4 16
5 35 46
73 53 41
25 13 90
2 29 90
46 72 8
38 68 30
18 10 88
4 75 28
69 55 36
29 19 83
19 54 75
31 28 9
51 43 61
20 55 35
13 16 19
32 29 88
52 7 23
76 72 36
2 6 93
5 48 79
46 49 16
25 26 66
58 23 87
23 65 65
15 61 35
68 73 88
6 12 26
39 46 74
59 24 41
50 55 7
43 16 96
16 62 37
8 58 62
74 3 10
19 67 10
20 32 9
40 10 58
12 28 50
32 6 42
42 56 64
61 69 1
54 30 7
45 61 22
5 25 40
24 38 11
11 68 46
36 12 98
77 13 50
3 64 74
38 58 5
66 40 81
39 23 80
4 65 20
69 45 10
70 10 32
56 75 20
8 35 40
20 9 19
31 18 26
72 56 43
49 72 47
55 3 91
1 32 80
20 45 4
21 10 100
61 46 73
7 75 60
40 23 10
76 62 36
42 69 86
45 74 17
73 56 1
65 52 98
38 35 14
77 26 32
15 51 31
27 25 93
19 21 93
59 14 12
51 10 88
37 75 7
43 6 53
29 71 77
28 26 48
72 69 7
30 72 62
76 39 19
22 68 93
42 46 9
26 38 99
46 16 5
65 29 52
11 58 60
57 25 75
35 43 80
26 74 35
46 52 34
38 48 7
58 26 16
50 22 39
69 35 70
15 64 13
48 61 49
60 72 67
18 75 36
10 71 72
30 49 83
22 45 44
41 58 98
42 23 25
1 22 87
53 32 31
73 10 93
45 28 17
24 5 2
34 55 51
35 20 36
26 51 55
54 33 68
45 64 78
66 7 2
15 41 33
16 6 62
8 2 80
68 53 70
27 15 42
19 11 31
71 58 80
18 52 89
29 61 3
8 38 98
49 39 80
6 77 1
12 8 32
53 9 12
72 59 16
64 55 65
30 62 5
61 49 71
34 32 63
38 2 72
57 15 92
23 22 30
15 18 88
33 72 74
50 12 96
37 42 85
56 55 40
16 19 52
8 15 39
72 36 53
18 65 60
64 32 73
29 74 67
70 75 54
76 6 92
30 39 27
41 48 17
61 26 75
34 9 94
11 25 19
63 72 84
34 45 12
67 42 29
33 49 27
38 15 14
4 22 98
44 58 88
36 54 54
15 31 23
14 72 3
19 1 50
71 48 37
17 77 87
64 9 14
37 55 84
10 38 51
29 51 57
49 29 11
61 3 48
6 67 63
7 32 11
51 75 90
30 52 65
76 19 54
22 48 68
63 49 77
42 26 19
75 23 82
45 31 86
32 61 98
65 9 65
11 38 17
68 20 65
14 49 100
52 75 94
71 25 81
18 19 40
56 45 86
29 28 23
2 74 12
72 26 21
59 56 74
29 64 50
30 29 35
70 65 12
62 61 88
22 25 9
41 38 37
42 3 98
45 8 20
3 11 69
74 71 35
13 61 94
14 26 96
32 74 96
5 57 45
38 5 65
25 35 53
71 2 58
36 44 40
56 22 88
48 18 31
68 33 12
6 21 96
71 38 83
66 72 14
58 68 47
18 32 24
37 45 22
49 19 66
6 57 81
7 22 52
51 65 93
43 61 93
55 35 58
12 73 98
52 29 80
24 47 47
3 24 14
2 28 37
68 10 86
13 74 60
60 6 13
18 9 94
36 57 49
77 58 32
2 64 35
50 77 84
51 42 43
70 55 72
43 38 69
62 51 4
28 58 29
74 25 3
53 2 60
20 54 61
40 32 93
3 1 94
1 77 38
75 26 5
13 51 77
73 65 90
24 60 11
36 34 35
2 41 25
35 75 33
60 19 74
6 11 31
39 45 74
77 71 45
50 54 93
29 31 53
70 32 1
69 67 5
27 70 64
7 12 63
31 40 91
9 58 68
74 38 22
13 28 15
52 19 65
36 11 69
25 38 52
58 35 50
23 77 23
15 73 53
48 21 76
59 36 86
43 28 50
16 74 23
62 41 21
8 70 61
74 15 97
20 44 78
21 9 89
31 53 69
76 61 98
75 16 60
21 45 70
12 76 44
53 77 40
45 73 62
33 19 94
24 50 19
44 28 72
47 39 66
66 52 29
18 12 64
77 61 95
10 8 74
16 51 62
20 21 36
31 30 68
51 45 75
9 48 29
74 28 11
1 44 28
40 35 68
53 54 64
5 14 4
24 27 65
52 9 28
26 73 17
54 55 93
46 51 79
47 16 5
38 47 41
57 60 33
58 25 61
17 24 79
77 38 32
4 54 42
50 21 90
27 37 8
68 75 23
47 52 1
6 14 91
70 35 59
43 18 61
62 31 24
8 60 88
9 25 60
28 38 46
74 5 1
40 12 56
64 77 77
24 4 83
34 54 16
53 67 54
5 27 1
65 41 95
66 6 64
11 70 80
3 66 40
23 44 49
69 11 72
66 42 6
38 60 65
59 3 35
69 47 81
56 77 44
62 8 43
8 37 77
9 2 15
28 15 89
19 46 72
20 11 14
43 31 72
30 61 27
55 5 11
1 34 26
42 35 98
11 47 54
42 71 6
34 67 46
26 63 88
65 54 24
38 37 31
57 50 30
58 15 76
4 44 78
50 11 67
69 24 21
15 53 51
68 65 68
19 23 50
60 61 1
18 64 24
51 12 91
37 77 8
43 8 66
41 47 15
1 11 25
20 24 17
64 67 91
30 74 72
22 70 16
35 9 27
54 22 2
73 35 22
5 17 90
45 53 57
11 60 74
3 56 26
77 5 20
4 21 92
23 34 17
67 77 49
68 42 39
27 4 7
37 54 56
16 31 42
28 5 45
60 74 21
20 1 41
72 48 77
41 60 26
53 34 1
57 4 42
75 58 83
35 22 47
54 35 100
46 31 10
33 61 4
38 27 57
52 74 59
57 40 32
44 70 71
50 1 32
56 44 19
2 73 59
8 4 16
60 51 63
10 50 14
29 63 76
30 28 41
49 41 29
41 37 56
7 44 92
12 10 83
64 57 49
30 64 73
76 31 37
74 70 21
45 43 63
32 73 97
65 21 51
52 51 94
4 11 39
15 20 49
14 61 75
25 70 25
72 2 41
17 66 7
56 57 37
29 40 94
8 17 24
60 64 25
64 34 61
29 76 65
70 77 48
49 54 80
22 37 87
61 28 38
53 24 33
11 27 2
68 9 24
13 73 98
33 51 39
5 69 62
52 64 26
36 56 50
56 34 89
68 45 81
14 74 93
18 44 6
64 11 11
37 57 67
29 53 39
48 66 48
7 34 56
53 1 25
43 73 49
63 51 41
55 47 85
75 25 87
67 21 29
32 63 84
57 7 89
3 36 39
4 1 19
56 11 70
75 61 21
67 57 72
33 64 27
25 60 58
44 73 21
18 21 10
36 69 6
2 76 84
48 43 85
49 8 79
6 46 63
64 24 34
51 54 71
70 67 98
62 63 4
63 28 44
74 37 54
7 47 37
53 14 26
40 44 31
31 75 28
11 17 36
74 73 100
13 63 48
14 28 22
24 72 55
25 37 56
71 4 10
52 54 12
17 33 48
37 11 78
56 24 43
60 31 97
47 61 39
66 74 70
72 5 34
17 69 96
64 1 69
10 30 62
30 8 58
49 21 32
6 59 89
7 24 73
74 50 97
21 44 25
13 40 90
24 49 40
25 14 43
44 27 47
36 23 77
68 12 66
54 77 27
17 46 47
18 11 2
37 24 90
10 7 39
69 56 22
2 66 60
48 33 24
47 74 89
7 1 50
39 70 87
70 57 83
62 53 95
74 27 8
12 52 33
31 65 21
32 30 47
11 7 59
52 8 53
75 28 29
21 57 95
67 24 83
13 53 87
14 18 20
33 31 92
24 62 37
56 14 17
2 43 51
35 77 17
77 73 40
50 56 77
10 20 65
51 21 93
28 37 20
74 4 11
31 42 69
51 57 32
9 60 21
74 40 30
1 56 40
21 34 48
40 47 75
33 8 51
5 26 31
44 17 47
54 67 71
18 1 39
58 37 61
37 14 4
15 75 88
39 60 26
50 69 39
51 34 48
70 47 33
8 72 38
28 50 11
1 33 61
13 7 42
1 69 55
42 70 73
67 14 15
34 66 98
45 75 69
5 39 44
25 17 60
17 13 76
56 4 57
2 33 77
58 50 33
50 46 25
51 11 77
70 24 89
9 14 100
20 23 32
12 19 14
31 32 19
30 73 79
63 21 77
76 40 68
55 17 1
21 24 9
5 16 86
73 34 30
2 10 1
35 44 9
54 57 38
46 53 71
38 49 88
39 14 39
58 27 87
50 23 98
70 1 96
15 65 71
16 30 98
8 26 18
60 73 53
59 28 87
62 33 11
74 7 56
1 23 13
61 37 78
21 1 53
12 32 15
26 52 43
73 47 76
46 30 7
65 43 94
11 72 8
17 3 27
4 33 91
69 13 33
15 42 87
38 62 7
39 27 27
58 40 54
71 59 58
59 5 96
50 36 7
48 75 50
8 39 3
9 4 79
12 9 87
31 22 19
64 56 53
49 76 48
22 59 82
34 33 30
13 10 91
73 24 30
24 19 37
65 20 41
11 49 99
3 45 7
54 47 65
38 39 21
66 21 57
57 52 84
58 17 3
50 13 50
69 26 78
8 16 42
68 67 7
27 29 55
71 72 39
72 37 18
18 66 58
30 40 31
9 17 16
20 26 46
61 27 38
12 22 87
34 46 21
35 11 6
53 59 92
54 24 90
46 20 68
38 16 87
11 62 55
52 63 50
3 58 99
77 7 78
69 3 31
15 32 92
68 44 15
27 6 23
19 2 15
50 26 69
16 33 94
60 76 95
72 50 55
76 20 60
42 27 95
61 40 18
7 69 77
53 36 19
26 19 15
54 1 1
73 14 59
11 39 3
3 35 82
15 9 63
26 55 17
67 56 38
38 29 27
52 76 91
44 72 87
15 45 64
16 10 27
2 75 16
48 42 6
60 53 51
72 27 15
18 56 91
10 52 21
41 39 76
7 46 73
42 40 71
55 59 37
26 32 23
32 75 89
38 6 46
11 52 16
57 19 36
24 71 57
3 48 87
15 22 89
60 30 56
33 76 26
25 72 39
17 68 88
18 33 63
29 42 4
48 55 56
41 16 7
6 58 53
7 23 70
10 65 46
30 43 16
62 75 93
41 52 62
42 17 53
3 25 37
63 76 4
23 3 87
55 72 99
67 46 77
13 75 30
14 40 15
25 49 24
44 62 28
36 58 18
48 32 14
14 76 68
19 5 14
6 35 41
72 17 66
29 55 29
70 56 44
3 2 1
74 62 100
75 27 75
26 22 62
13 52 59
4 3 13
2 42 48
67 59 70
68 24 47
60 20 91
33 66 24
25 62 40
36 71 83
37 36 66
10 19 75
56 49 15
77 72 67
48 45 90
49 10 45
41 6 23
6 48 75
59 60 98
62 65 85
42 7 81
74 39 27
34 3 35
40 46 50
45 12 32
52 20 86
63 66 53
55 62 66
67 36 99
68 1 32
14 30 97
33 43 100
65 75 67
2 55 65
47 63 10
66 76 20
72 7 14
58 72 5
59 37 17
29 45 45
8 71 20
28 49 12
7 26 69
59 73 49
31 54 61
51 69 61
9 72 41
75 17 52
33 20 38
52 33 57
25 16 54
24 51 32
17 12 92
36 25 52
35 66 33
68 14 59
25 52 55
18 13 68
77 62 44
37 26 13
7 3 72
39 72 64
59 50 99
70 59 64
28 62 70
1 45 80
21 23 83
12 54 67
31 67 57
3 5 27
76 75 61
21 59 1
13 55 76
14 20 86
54 56 63
73 69 86
25 29 98
66 30 44
77 39 32
6 15 69
47 53 12
59 27 55
77 75 40
43 19 83
16 65 44
9 26 42
28 39 15
63 33 53
1 58 80
12 67 27
73 46 76
33 10 52
44 19 6
17 2 1
2 22 86
35 56 96
66 43 62
58 39 92
59 4 89
4 68 13
69 48 8
70 13 47
15 77 33
28 16 26
47 66 54
19 47 54
39 62 20
50 71 75
51 36 51
43 32 80
16 78 32
62 45 12
49 75 32
1 35 17
20 48 34
21 13 1
40 26 68
24 18 92
76 65 55
34 68 53
5 41 91
65 55 57
66 20 23
58 16 73
48 2 16
15 54 97
47 43 52
6 5 55
59 17 77
70 26 95
16 55 57
62 22 58
8 51 10
9 16 96
27 64 3
12 21 1
30 75 65
55 19 8
53 58 29
54 23 54
13 22 66
5 18 12
24 31 28
65 32 50
44 9 21
57 28 56
36 5 21
35 46 10
4 58 72
50 25 23
23 71 3
8 28 87
27 41 26
28 6 23
19 37 24
20 2 87
49 65 22
9 29 16
41 61 41
21 3 25
12 34 7
40 16 34
24 8 79
76 55 32
35 23 61
73 49 24
45 67 43
65 45 79
57 41 100
77 19 34
15 44 11
68 56 42
27 18 88
19 14 31
59 7 84
50 38 69
8 41 56
9 6 4
49 42 36
53 48 19
5 8 19
46 9 82
57 18 43
35 36 91
75 72 81
66 23 65
39 6 30
50 15 89
16 22 48
48 54 56
8 18 20
68 69 86
60 65 91
18 68 85
43 12 6
29 77 39
49 55 7
1 15 92
7 58 84
63 75 50
42 52 93
35 13 72
54 26 6
4 25 55
68 46 56
27 8 66
14 75 66
72 16 63
18 45 58
29 54 26
8 31 65
48 67 30
28 9 45
20 5 8
12 1 90
31 14 46
64 48 89
76 22 41
22 51 94
41 64 86
34 25 71
53 38 55
26 21 94
54 3 21
73 16 69
11 41 4
57 8 17
15 11 70
67 58 72
68 23 43
14 52 29
25 61 18
71 28 92
4 38 74
17 57 56
50 5 4
44 74 57
16 12 49
27 21 88
19 17 75
6 47 33
18 58 7
37 71 41
10 54 13
61 19 15
34 2 45
7 48 46
45 11 32
3 14 83
63 65 65
55 61 18
46 12 8
33 42 53
4 15 39
44 51 61
23 28 49
56 25 42
67 71 14
68 36 8
14 65 97
60 32 35
66 75 38
17 70 81
18 35 38
37 48 55
10 31 66
56 61 43
49 22 33
7 25 21
64 38 3
10 67 62
51 68 95
30 45 18
9 71 64
34 15 81
74 51 19
45 24 26
65 2 33
11 31 1
52 32 75
3 27 79
23 5 35
68 13 46
25 51 80
44 64 43
17 47 92
36 60 93
56 38 4
6 37 27
10 44 74
29 57 40
30 22 12
62 54 96
22 18 14
61 9 12
31 66 12
43 77 55
55 51 73
75 29 29
21 58 38
13 54 93
33 32 18
52 45 99
4 5 63
37 2 40
48 11 21
68 26 47
14 55 1
60 22 10
25 64 6
66 65 66
71 31 95
17 60 1
58 61 85
18 25 15
48 47 49
49 12 43
27 73 65
59 62 80
51 58 36
70 71 8
74 41 23
20 70 83
21 35 74
40 48 25
21 71 22
68 3 58
14 32 100
5 63 5
33 45 49
24 76 17
44 54 81
18 2 92
77 51 98
56 28 36
2 57 59
48 24 66
39 61 24
18 38 12
59 39 93
10 34 3
51 35 52
30 12 73
16 77 41
8 73 39
40 25 71
31 56 20
51 71 49
63 45 23
9 74 90
55 41 90
74 54 96
67 15 43
32 57 95
73 58 20
17 14 58
36 27 51
46 77 23
69 60 35
29 24 48
62 21 64
27 63 28
62 57 79
63 22 24
55 18 70
1 47 81
21 25 39
12 56 25
31 69 39
24 30 5
76 77 2
36 4 88
2 11 81
54 58 90
5 53 45
65 67 46
66 32 7
17 27 97
77 41 26
23 70 63
29 1 1
2 47 90
48 14 69
69 37 60
6 17 24
66 68 51
58 64 96
59 29 41
70 38 40
16 67 97
62 34 99
8 63 27
27 76 5
21 2 37
40 15 27
32 11 80
76 54 69
55 31 42
42 61 92
67 5 71
12 69 42
33 12 14
5 30 43
73 48 53
25 8 27
36 17 19
77 18 53
66 45 31
51 2 91
27 53 94
31 23 53
63 12 38
8 76 45
55 8 52
20 50 84
32 24 24
76 67 7
42 74 92
2 1 30
47 9 71
65 57 5
38 40 21
57 53 1
4 47 94
69 27 31
15 56 36
27 30 93
6 7 99
38 76 87
71 73 61
59 19 85
70 28 32
16 57 1
27 66 9
12 23 71
40 5 24
72 74 32
30 77 3
76 44 8
22 73 97
73 38 25
65 34 22
11 63 75
2 14 100
47 22 97
39 18 100
50 27 4
23 73 58
70 5 21
15 69 20
62 1 18
60 77 3
20 4 95
72 51 50
64 47 42
10 76 26
63 2 59
76 21 18
9 31 48
41 63 41
42 28 24
21 5 78
53 37 80
24 10 16
42 64 44
26 56 39
66 12 62
57 43 54
52 77 70
3 72 44
77 21 40
4 37 44
8 7 23
27 20 28
60 54 14
59 9 81
72 28 25
51 5 32
43 1 83
29 66 1
28 21 38
41 40 6
61 18 94
12 13 38
72 64 80
30 67 85
76 34 52
41 76 8
42 41 3
5 10 4
46 11 86
11 53 15
15 23 92
75 74 92
68 35 85
33 77 22
25 73 72
4 50 52
50 17 96
37 47 88
56 60 4
48 56 81
68 71 59
27 33 96
72 41 20
31 3 50
18 70 21
10 66 29
76 11 6
22 40 50
41 53 10
42 18 12
1 17 80
73 5 14
3 26 88
63 77 86
23 4 60
34 50 79
35 15 66
54 28 41
38 20 39
52 67 48
57 33 6
77 11 50
15 36 4
56 37 20
14 77 32
60 44 48
71 53 2
72 18 44
18 47 27
64 14 55
10 43 11
30 21 81
49 34 71
20 7 14
61 8 87
6 72 24
7 37 93
53 4 41
30 57 8
22 53 41
63 54 68
34 27 58
74 63 2
53 40 68
54 5 64
26 23 68
45 36 88
73 18 20
46 1 82
11 43 82
52 44 65
3 39 22
23 17 21
75 64 85
67 60 5
68 25 94
14 54 85
33 67 14
71 30 87
29 33 28
72 31 64
10 56 55
49 47 49
62 66 13
42 8 28
34 4 16
55 63 87
26 36 1
24 75 4
4 17 85
36 49 80
56 27 12
2 56 59
48 23 83
60 34 72
25 76 40
18 37 89
37 50 23
29 46 91
48 59 12
6 62 70
7 27 65
9 73 63
55 40 12
74 53 92
34 17 52
32 56 65
11 33 29
52 34 79
15 3 4
75 54 17
67 50 34
14 44 90
71 20 77
17 49 16
36 62 49
29 23 4
49 1 53
47 77 30
7 4 61
39 73 16
18 50 19
64 17 10
59 51 7
51 47 42
70 60 50
41 33 15
3 6 69
63 57 66
55 53 35
21 60 60
14 21 48
73 70 17
5 52 49
24 65 34
17 26 42
36 39 15
2 46 39
48 13 84
14 57 65
66 67 41
71 33 52
58 63 48
37 40 100
10 23 92
29 36 14
30 1 31
41 10 86
6 52 20
7 17 51
19 71 24
59 64 12
43 56 64
62 69 77
63 34 84
9 63 32
1 59 41
52 24 6
3 19 82
2 23 52
14 34 48
5 65 51
46 66 78
57 75 94
36 52 93
37 17 81
29 13 72
47 67 52
6 29 50
39 63 12
70 50 38
62 46 49
22 10 71
8 75 37
9 40 64
55 7 99
28 53 54
74 20 13
20 49 33
40 27 59
32 23 85
52 1 68
43 69 1
9 76 90
75 21 19
42 73 6
13 46 18
33 24 49
52 37 61
65 56 90
44 33 50
17 16 82
56 7 99
2 36 73
47 44 21
38 75 42
59 18 99
77 66 4
51 14 25
62 23 36
40 4 38
59 54 34
51 50 60
43 46 44
63 24 84
74 33 16
20 62 56
13 23 75
2 13 12
46 56 44
38 52 16
70 4 83
47 57 62
6 19 20
39 53 37
59 31 60
51 27 73
70 40 61
43 23 11
16 69 40
8 65 27
1 26 12
19 74 4
20 39 90
32 13 75
24 9 6
42 63 21
53 72 25
14 1 22
5 32 55
73 50 93
65 46 89
36 19 18
77 20 19
23 49 23
46 69 96
47 34 86
38 65 27
4 72 32
10 3 98
51 4 59
62 13 40
9 7 88
31 25 49
63 14 48
9 43 60
41 75 37
53 49 27
5 9 81
52 4 32
42 76 29
35 37 35
73 63 68
38 42 13
69 29 56
8 19 58
68 70 92
27 32 36
16 59 32
62 26 7
1 16 34
20 29 55
40 7 34
76 46 44
42 53 78
61 66 21
26 45 77
73 40 56
46 23 90
66 1 100
11 65 89
77 10 49
69 6 19
35 50 46
27 9 80
38 55 4
58 33 48
4 62 5
70 7 56
15 71 46
16 36 50
62 3 35
8 32 43
19 41 68
64 49 52
30 56 59
21 7 45
34 26 6
45 35 52
24 12 4
65 13 37
23 16 72
35 27 72
54 40 72
66 14 93
44 75 4
4 39 6
23 52 72
8 9 54
